root@iZwz926s6w2txboh71489qZ:~/bin# QOS=0   # 0/1/2
SIZE=256
N=4000  # N 对（按需调整）

# sub：每个连接订阅一个唯一 topic：bench/nn/1 .. bench/nn/N
./emqtt_bench sub -V 4 -h 172.28.130.87 -c "${N}" -t "bench/nn/%i" -q "${QOS}"
Start with 128 workers, addrs pool size: 1 and req interval: 1280 ms

1s sub total=128 rate=127.49/sec
1s connect_succ total=128 rate=127.49/sec
2s sub total=256 rate=128.00/sec
2s connect_succ total=256 rate=128.00/sec
3s sub total=384 rate=128.00/sec
3s connect_succ total=384 rate=128.00/sec
4s sub total=512 rate=128.00/sec
4s connect_succ total=512 rate=128.00/sec
6s sub total=640 rate=64.00/sec
6s connect_succ total=640 rate=64.00/sec
7s sub total=768 rate=128.00/sec
7s connect_succ total=768 rate=128.00/sec
8s sub total=896 rate=128.00/sec
8s connect_succ total=896 rate=128.00/sec
9s sub total=1024 rate=128.00/sec
9s connect_succ total=1024 rate=128.00/sec
11s sub total=1152 rate=64.00/sec
11s connect_succ total=1152 rate=64.00/sec
12s sub total=1280 rate=128.00/sec
12s connect_succ total=1280 rate=128.00/sec
13s sub total=1408 rate=128.00/sec
13s connect_succ total=1408 rate=128.00/sec
15s sub total=1536 rate=64.00/sec
15s connect_succ total=1536 rate=64.00/sec
16s sub total=1664 rate=128.00/sec
16s connect_succ total=1664 rate=128.00/sec
17s sub total=1792 rate=128.00/sec
17s connect_succ total=1792 rate=128.00/sec
18s sub total=1920 rate=128.00/sec
18s connect_succ total=1920 rate=128.00/sec
20s sub total=2048 rate=64.00/sec
20s connect_succ total=2048 rate=64.00/sec
21s sub total=2176 rate=128.00/sec
21s connect_succ total=2176 rate=128.00/sec
22s sub total=2304 rate=128.00/sec
22s connect_succ total=2304 rate=128.00/sec
24s sub total=2432 rate=64.00/sec
24s connect_succ total=2432 rate=64.00/sec
25s sub total=2560 rate=128.00/sec
25s connect_succ total=2560 rate=128.00/sec
26s sub total=2688 rate=128.00/sec
26s connect_succ total=2688 rate=128.00/sec
27s sub total=2816 rate=128.00/sec
27s connect_succ total=2816 rate=128.00/sec
29s sub total=2944 rate=64.00/sec
29s connect_succ total=2944 rate=64.00/sec
30s sub total=3072 rate=128.00/sec
30s connect_succ total=3072 rate=128.00/sec
31s sub total=3200 rate=128.00/sec
31s connect_succ total=3200 rate=128.00/sec
33s sub total=3328 rate=64.00/sec
33s connect_succ total=3328 rate=64.00/sec
34s sub total=3456 rate=128.00/sec
34s connect_succ total=3456 rate=128.00/sec
35s sub total=3584 rate=128.00/sec
35s connect_succ total=3584 rate=128.00/sec
36s sub total=3712 rate=128.00/sec
36s connect_succ total=3712 rate=128.00/sec
38s sub total=3840 rate=64.00/sec
38s connect_succ total=3840 rate=64.00/sec
39s sub total=3968 rate=128.00/sec
39s connect_succ total=3968 rate=128.00/sec
40s sub total=3969 rate=1.00/sec
40s connect_succ total=3969 rate=1.00/sec
41s sub total=3970 rate=1.00/sec
41s connect_succ total=3970 rate=1.00/sec
43s sub total=3971 rate=0.50/sec
43s connect_succ total=3971 rate=0.50/sec
44s sub total=3972 rate=1.00/sec
44s connect_succ total=3972 rate=1.00/sec
45s sub total=3973 rate=1.00/sec
45s connect_succ total=3973 rate=1.00/sec
47s sub total=3974 rate=0.50/sec
47s connect_succ total=3974 rate=0.50/sec
48s sub total=3975 rate=1.00/sec
48s connect_succ total=3975 rate=1.00/sec
49s sub total=3976 rate=1.00/sec
49s connect_succ total=3976 rate=1.00/sec
50s sub total=3977 rate=1.00/sec
50s connect_succ total=3977 rate=1.00/sec
52s sub total=3978 rate=0.50/sec
52s connect_succ total=3978 rate=0.50/sec
53s sub total=3979 rate=1.00/sec
53s connect_succ total=3979 rate=1.00/sec
54s sub total=3980 rate=1.00/sec
54s connect_succ total=3980 rate=1.00/sec
56s sub total=3981 rate=0.50/sec
56s connect_succ total=3981 rate=0.50/sec
57s sub total=3982 rate=1.00/sec
57s connect_succ total=3982 rate=1.00/sec
58s sub total=3983 rate=1.00/sec
58s connect_succ total=3983 rate=1.00/sec
59s sub total=3984 rate=1.00/sec
59s connect_succ total=3984 rate=1.00/sec
1m1s sub total=3985 rate=0.50/sec
1m1s connect_succ total=3985 rate=0.50/sec
1m2s sub total=3986 rate=1.00/sec
1m2s connect_succ total=3986 rate=1.00/sec
1m3s sub total=3987 rate=1.00/sec
1m3s connect_succ total=3987 rate=1.00/sec
1m5s sub total=3988 rate=0.50/sec
1m5s connect_succ total=3988 rate=0.50/sec
1m6s sub total=3989 rate=1.00/sec
1m6s connect_succ total=3989 rate=1.00/sec
1m7s sub total=3990 rate=1.00/sec
1m7s connect_succ total=3990 rate=1.00/sec
1m8s sub total=3991 rate=1.00/sec
1m8s connect_succ total=3991 rate=1.00/sec
1m10s sub total=3992 rate=0.50/sec
1m10s connect_succ total=3992 rate=0.50/sec
1m11s sub total=3993 rate=1.00/sec
1m11s connect_succ total=3993 rate=1.00/sec
1m12s sub total=3994 rate=1.00/sec
1m12s connect_succ total=3994 rate=1.00/sec
1m14s sub total=3995 rate=0.50/sec
1m14s connect_succ total=3995 rate=0.50/sec
1m15s sub total=3996 rate=1.00/sec
1m15s connect_succ total=3996 rate=1.00/sec
1m16s sub total=3997 rate=1.00/sec
1m16s connect_succ total=3997 rate=1.00/sec
1m17s sub total=3998 rate=1.00/sec
1m17s connect_succ total=3998 rate=1.00/sec
1m19s sub total=3999 rate=0.50/sec
1m19s connect_succ total=3999 rate=0.50/sec
1m20s sub total=4000 rate=1.00/sec
1m20s connect_succ total=4000 rate=1.00/sec
1m28s recv total=2816 rate=32.00/sec
1m29s recv total=11498 rate=8682.00/sec
1m30s recv total=27392 rate=15894.00/sec
1m31s recv total=49898 rate=22506.00/sec
1m32s recv total=77788 rate=27890.00/sec
1m33s recv total=111932 rate=34144.00/sec
1m34s recv total=151644 rate=39712.00/sec
1m35s recv total=199612 rate=47968.00/sec
1m36s recv total=252636 rate=53024.00/sec
1m37s recv total=312105 rate=59469.00/sec
1m38s recv total=376630 rate=64525.00/sec
1m39s recv total=448943 rate=72313.00/sec
1m40s recv total=527286 rate=78343.00/sec
1m41s recv total=611887 rate=84601.00/sec
