time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T04:06:27Z,eth0,725498662,1965881,6049169913,1849001,8341158,17024335,2101044,3,1923322,5255051,2501,650,269336,1639416
2025-12-31T04:06:28Z,eth0,780953893,2073224,6537142077,1950373,8512769,17207917,2218016,3,2030781,5647549,2579,778,269720,1639544
2025-12-31T04:06:29Z,eth0,843348120,2187171,7093312491,2053746,8694260,17389567,2333340,3,2145234,6089070,2666,906,269720,1639672
2025-12-31T04:06:30Z,eth0,913741720,2314531,7719803841,2168837,8896463,17586538,2459450,3,2273044,6587849,2834,1034,269720,1639928
2025-12-31T04:06:31Z,eth0,993605226,2451433,8435054179,2288959,9153962,17796327,2585721,3,2410131,7152046,2999,1034,269720,1640056
2025-12-31T04:06:32Z,eth0,1081492866,2604027,9220581331,2422119,9436560,18026283,2727343,3,2562778,7771623,3291,1162,269720,1640184
2025-12-31T04:06:33Z,eth0,1177885301,2771158,10082671607,2567959,9742797,18274087,2881463,3,2729884,8450039,3561,1290,269912,1640376
2025-12-31T04:06:34Z,eth0,1282524110,2949165,11019934823,2720967,10066070,18531959,3042202,3,2908084,9187966,3726,1418,270104,1640568
2025-12-31T04:06:35Z,eth0,1394779226,3137641,12026739635,2881451,10405434,18798715,3207887,3,3095885,9974068,3812,1546,270104,1640824
2025-12-31T04:06:37Z,eth0,1514324774,3335730,13098277789,3048250,10753215,19073400,3380274,3,3294725,10818087,3955,1674,270104,1641016
2025-12-31T04:06:38Z,eth0,1643245284,3546540,14260125731,3224396,11118432,19360406,3561364,3,3505442,11723634,4116,1674,270488,1641848
2025-12-31T04:06:39Z,eth0,1781280771,3769852,15503380719,3410110,11501822,19658689,3749881,3,3728879,12694103,4421,1802,295064,1642552
2025-12-31T04:06:40Z,eth0,1926334892,4001093,16811332329,3599407,11895612,19963596,3942306,3,3959830,13709373,4625,1930,324056,1643640
2025-12-31T04:06:41Z,eth0,2080164408,4245448,18199561221,3799781,12306113,20279279,4141645,3,4204556,14791739,4768,2058,353816,1710780
2025-12-31T04:06:42Z,eth0,2238572756,4457802,19337908611,3955212,12691131,20556636,4306259,3,4416782,15640708,20733,2186,1082232,3683032
2025-12-31T04:06:43Z,eth0,2406360721,4676902,20432431269,4113242,13084559,20840895,4472335,3,4635851,16450980,41676,2314,2250616,6708228
2025-12-31T04:06:44Z,eth0,2581372643,4895935,21522246383,4266187,13471991,21115287,4630633,3,4855317,17259580,61787,2314,3761752,9932504
2025-12-31T04:06:45Z,eth0,2764670536,5124979,22609412145,4425044,13873885,21395329,4791758,3,5084291,18066712,82454,2442,5361496,13289444
2025-12-31T04:06:46Z,eth0,2959242229,5359653,23721423817,4583190,14313003,21686395,4948785,3,5319263,18894571,103622,2570,6640512,15526816
