time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T06:41:09Z,eth0,17461155953,79863860,16775817758,69459904,152120641,132401084,70712996,32,79855900,69470593,4987,4384,67200,1437736
2025-12-31T06:41:11Z,eth0,17472628054,79920647,16786356101,69502657,152176823,132484361,70762038,32,79912853,69513459,4987,4512,67200,1437800
2025-12-31T06:41:12Z,eth0,17486893740,79991280,16799451607,69555593,152249940,132587494,70823084,32,79983734,69566466,4987,4640,67200,1437800
2025-12-31T06:41:13Z,eth0,17504305212,80077071,16815462999,69620086,152332900,132705644,70894818,32,80069432,69631082,4987,4640,70272,1438376
2025-12-31T06:41:14Z,eth0,17524724420,80178016,16834215689,69695894,152424623,132837494,70976940,32,80171293,69707254,4987,4768,73728,1438440
2025-12-31T06:41:15Z,eth0,17548029021,80293142,16855602315,69781992,152526637,132984357,71068722,32,80286878,69794339,4987,4896,79296,1438568
2025-12-31T06:41:16Z,eth0,17574168865,80422250,16879643041,69879314,152641595,133145625,71169543,32,80415812,69890822,4989,5024,86592,1438664
2025-12-31T06:41:17Z,eth0,17603188959,80565566,16906272079,69986442,152766579,133321369,71279579,32,80559536,69999017,4989,5152,92544,1438792
2025-12-31T06:41:18Z,eth0,17635391184,80724560,16935844871,70105710,152899209,133510300,71399085,32,80716998,70116650,4989,5280,100992,1438856
2025-12-31T06:41:19Z,eth0,17670151997,80895863,16967821874,70234750,153042007,133713093,71528482,32,80888260,70245734,4989,5280,110208,1438984
2025-12-31T06:41:20Z,eth0,17708237445,81083819,17002778269,70375395,153194053,133929226,71666905,32,81076529,70386456,4989,5408,119616,1439160
2025-12-31T06:41:21Z,eth0,17749109174,81285591,17040344970,70527133,153355444,134159391,71815289,32,81278442,70538528,4989,5536,131328,1504892
2025-12-31T06:41:22Z,eth0,17792930080,81501831,17080565295,70688859,153524974,134403126,71974915,32,81495169,70700694,4990,5664,142848,1505020
2025-12-31T06:41:23Z,eth0,17839638292,81732366,17123508483,70862397,153704668,134662724,72145181,32,81726646,70874209,4990,5792,154944,1505212
2025-12-31T06:41:24Z,eth0,17889281793,81977336,17169103223,71046059,153891398,134934376,72324275,32,81971480,71058518,4991,5920,168000,1505412
2025-12-31T06:41:26Z,eth0,17941922350,82236763,17217443748,71240334,154086453,135218871,72513304,32,82231036,71253246,4991,5951,182016,1505668
2025-12-31T06:41:27Z,eth0,17997808094,82512478,17268805077,71447503,154283239,135512880,72708450,32,82506462,71459186,4998,6048,196992,1571400
2025-12-31T06:41:28Z,eth0,18056617796,82802614,17322858197,71665599,154489911,135820860,72915056,32,82797436,71677939,4998,6176,212736,1571848
2025-12-31T06:41:29Z,eth0,18119086016,83110712,17380237601,71896794,154700870,136140476,73129280,32,83105056,71908631,4998,6304,228672,1572296
2025-12-31T06:41:30Z,eth0,18183649444,83429275,17439524450,72135350,154916117,136467724,73349939,32,83423802,72148356,4998,6432,246144,1572916
2025-12-31T06:41:31Z,eth0,18251691500,83764886,17502030957,72387183,155143575,136811501,73584556,32,83759732,72400416,4998,6560,264000,1638968
2025-12-31T06:41:32Z,eth0,18322810373,84115706,17567383129,72650599,155377128,137167616,73828754,32,84111303,72663920,4999,6688,282816,1640248
2025-12-31T06:41:33Z,eth0,18396553516,84479073,17635119841,72922889,155617163,137531052,74079669,32,84473215,72935490,4999,6688,301632,1641016
2025-12-31T06:41:34Z,eth0,18473228536,84857340,17705547321,73206596,155859567,137905627,74340147,32,84853641,73220569,4999,6816,322560,1641720
2025-12-31T06:41:35Z,eth0,18553401188,85252761,17779207274,73503375,156100940,138289586,74605587,32,85248978,73517163,5000,6944,344064,1708668
2025-12-31T06:41:36Z,eth0,18636237616,85661341,17855320946,73810175,156349793,138682769,74879154,32,85655710,73822150,5000,7072,365328,1710368
