time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T08:13:28Z,eth0,115574027192,570787233,113745236882,539539342,414455339,738222035,470268365,4874,570778217,539252528,1010382,4256,824460,7393696
2025-12-31T08:13:29Z,eth0,115583832353,570835259,113755026920,539587153,414773395,738343303,470336583,4874,570826478,539300575,1010382,4384,824844,7398816
2025-12-31T08:13:30Z,eth0,115596620969,570897768,113767801784,539649456,415109995,738488141,470422850,4874,570889307,539363082,1010382,4512,825804,7400864
2025-12-31T08:13:31Z,eth0,115612410422,570974877,113783567457,539726298,415462009,738657026,470528546,4874,570966003,539439628,1010382,4640,825996,7401888
2025-12-31T08:13:32Z,eth0,115631184766,571066476,113802326014,539817679,415846037,738850279,470653367,4874,571058091,539531407,1010382,4768,826764,7404960
2025-12-31T08:13:34Z,eth0,115652954194,571172602,113824069730,539923566,416253778,739067240,470796393,4874,571164999,539638180,1010382,4896,827340,7405216
2025-12-31T08:13:35Z,eth0,115678376707,571296121,113849500758,540047099,416692283,739311570,470959473,4874,571287960,539761090,1010382,4896,827340,7404960
2025-12-31T08:13:36Z,eth0,115706957165,571435329,113878049443,540186032,417091349,739575155,471141604,4874,571426912,539899897,1010382,5024,828300,7405216
2025-12-31T08:13:37Z,eth0,115738668797,571589798,113909754229,540340282,417483899,739860953,471342650,4874,571581823,540054448,1010383,5152,832140,7411728
2025-12-31T08:13:38Z,eth0,115773613627,571759848,113944636241,540509991,417869470,740168489,471562846,4874,571752562,540224986,1010383,5280,833292,7411728
2025-12-31T08:13:39Z,eth0,115811731721,571945437,113982746374,540695361,418225106,740495455,471801178,4874,571938626,540410766,1010383,5408,835596,7413776
2025-12-31T08:13:40Z,eth0,115853166523,572147124,114024171050,540896852,418524698,740838108,472054662,4874,572140584,540612562,1010384,5536,839064,7416080
2025-12-31T08:13:41Z,eth0,115897875612,572364704,114068856728,541114166,418752602,741194735,472326434,4874,572357874,540829354,1010384,5664,843224,7417616
2025-12-31T08:13:42Z,eth0,115945836679,572597607,114116774532,541346940,418916027,741566750,472618361,4874,572590487,541061818,1010384,5685,845888,7419152
2025-12-31T08:13:44Z,eth0,115997516282,572848847,114168370285,541598078,418999741,741958056,472935781,4874,572841941,541313348,1010384,5792,847424,7420944
2025-12-31T08:13:45Z,eth0,116051487126,573110322,114221893250,541858785,419068731,742382184,473282685,4874,573103908,541574581,1010384,5920,857980,7437584
2025-12-31T08:13:46Z,eth0,116106935336,573379308,114277344101,542129609,419138019,742837077,473652597,4874,573372516,541845064,1010384,6048,871556,7450020
2025-12-31T08:13:47Z,eth0,116161226521,573643167,114331615423,542394347,419204113,743288425,474023139,4874,573637386,542110832,1010384,6176,881240,7456160
2025-12-31T08:13:48Z,eth0,116215463802,573906899,114385999459,542660753,419275457,743744467,474394137,4874,573900318,542376397,1010384,6304,896984,7478176
2025-12-31T08:13:49Z,eth0,116269608634,574170071,114440321705,542927495,419338860,744198143,474765637,4874,574162876,542642584,1010385,6432,907160,7477920
2025-12-31T08:13:50Z,eth0,116323394010,574431528,114494378255,543193653,419410217,744651094,475136722,4874,574425047,542909555,1010385,6560,921632,7505824
2025-12-31T08:13:51Z,eth0,116378179611,574695598,114550314538,543475815,419482462,745132000,475513516,4874,574688911,543192264,1010385,6688,992640,7580576
2025-12-31T08:13:53Z,eth0,116431704809,574955721,114604606112,543747440,419548573,745591058,475887847,4874,574949873,543464840,1010385,6688,1004128,7587488
2025-12-31T08:13:54Z,eth0,116485061248,575215240,114658811490,544020214,419616426,746051304,476263502,4874,575209428,543737659,1010385,6816,1017284,7601312
2025-12-31T08:13:55Z,eth0,116537967279,575472440,114713190846,544300867,419678680,746514046,476640667,4874,575465993,544017887,1010385,6944,1026808,7606944
2025-12-31T08:13:56Z,eth0,116591167097,575731169,114768044357,544585225,419742975,746981435,477020503,4874,575724694,544302122,1010385,7072,1032992,7615648
2025-12-31T08:13:57Z,eth0,116643988540,575988065,114823256803,544878815,419806757,747453847,477403835,4874,575981342,544595535,1010385,7200,1046728,7637264
2025-12-31T08:13:58Z,eth0,116696397202,576242816,114878572043,545178650,419870665,747927732,477787665,4874,576236292,544895711,1010385,7328,1057344,7651088
2025-12-31T08:13:59Z,eth0,116748150399,576494464,114934248054,545490395,419933490,748409965,478174032,4874,576487406,545207364,1010385,7456,1070800,7665056
2025-12-31T08:14:01Z,eth0,116800143732,576747189,114990383088,545806673,419997454,748893754,478563531,4874,576740670,545524001,1010385,7584,1079912,7674016
2025-12-31T08:14:02Z,eth0,116852384746,577001395,115047697232,546137411,420061591,749390961,478962097,4874,576995175,545855365,1010385,7712,1093904,7681440
2025-12-31T08:14:03Z,eth0,116904415051,577254120,115105841213,546483812,420125869,749896728,479366000,4874,577248036,546202075,1010385,7712,1096368,7683488
2025-12-31T08:14:04Z,eth0,116955980346,577504947,115164421006,546841415,420186779,750404376,479770662,4874,577497900,546558516,1010385,7840,1114408,7736224
2025-12-31T08:14:05Z,eth0,117006842636,577751569,115223042745,547206268,420243902,750922379,480179292,4874,577745731,546926027,1010385,7968,1155036,7759008
2025-12-31T08:14:06Z,eth0,117057790555,577999111,115282959323,547589289,420304454,751446644,480594378,4874,577993164,547307962,1010385,7969,1154092,7749792
2025-12-31T08:14:07Z,eth0,117109055721,578248158,115342944320,547970416,420364524,751972581,481010584,4874,578241509,547688707,1010385,7970,1156148,7749792
2025-12-31T08:14:09Z,eth0,117160089624,578495981,115402183877,548343273,420421914,752490536,481422430,4874,578489040,548060914,1010385,7971,1158836,7754400
2025-12-31T08:14:10Z,eth0,117211834652,578747463,115462696826,548726839,420485005,753021174,481843491,4875,578741024,548445113,1010385,7972,1167476,7761056
2025-12-31T08:14:11Z,eth0,117262668912,578994281,115522280406,549106853,420546249,753541877,482255063,4875,578987501,548824788,1010385,7973,1171184,7761312
2025-12-31T08:14:12Z,eth0,117313799948,579242745,115582053701,549485761,420607717,754066906,482671266,4875,579236295,549203991,1010386,7974,1172068,7763872
2025-12-31T08:14:13Z,eth0,117364147537,579487354,115641116543,549862358,420665849,754585758,483082734,4875,579480747,549580720,1010386,7975,1172836,7763872
2025-12-31T08:14:14Z,eth0,117415167667,579735279,115700548756,550237323,420725632,755106116,483495939,4875,579728163,549954914,1010386,7975,1173640,7764640
2025-12-31T08:14:15Z,eth0,117465618429,579980212,115759732297,550615334,420782994,755626325,483909815,4875,579973844,550333499,1010386,7976,1183388,7773088
2025-12-31T08:14:17Z,eth0,117516215193,580226025,115819255469,550996273,420842695,756149420,484324479,4875,580219392,550714268,1010386,7977,1183768,7772576
2025-12-31T08:14:18Z,eth0,117566601156,580470793,115878443875,551374406,420903859,756671179,484737843,4875,580464118,551092627,1010386,7978,1187004,7779600
2025-12-31T08:14:19Z,eth0,117617472345,580717962,115938082778,551754060,420964527,757196720,485156043,4875,580711401,551472292,1010386,7979,1182516,7770272
2025-12-31T08:14:20Z,eth0,117668291863,580964802,115997417927,552130091,421024819,757719503,485571295,4875,580957778,551847996,1010386,7980,1184436,7774368
2025-12-31T08:14:21Z,eth0,117719099895,581211675,116056785705,552506166,421086731,758240787,485985650,4876,581204793,552223993,1010386,7981,1186104,7774624
2025-12-31T08:14:22Z,eth0,117770262271,581460148,116116249554,552880840,421146279,758762168,486400846,4876,581453100,552598272,1010386,7982,1186488,7775392
