time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T08:21:37Z,eth0,130779929512,645575270,131166972656,646272588,454799204,891499786,590094464,6853,645566131,644925370,2078183,4384,1149616,7694240
2025-12-31T08:21:38Z,eth0,130794655028,645682190,131181655805,646379213,455059721,891707964,590237501,6853,645673668,645032660,2078183,4512,1149616,7695520
2025-12-31T08:21:39Z,eth0,130813963659,645822297,131200992050,646519383,455353851,891967276,590422357,6853,645814645,645173623,2078183,4512,1149808,7695520
2025-12-31T08:21:40Z,eth0,130837534874,645993469,131224547196,646690328,455704346,892277724,590645690,6853,645986432,645345209,2078183,4640,1142780,7691792
2025-12-31T08:21:41Z,eth0,130865439187,646196035,131252427468,646892627,456098174,892635569,590905181,6853,646189289,645547837,2078183,4768,1143356,7691792
2025-12-31T08:21:42Z,eth0,130897626756,646429494,131284559315,647125732,456464642,893037811,591206104,6853,646422971,645781240,2078183,4896,1143740,7699984
2025-12-31T08:21:43Z,eth0,130934123778,646694477,131321064106,647390599,456747021,893476084,591543953,6853,646687931,646045894,2078183,5024,1144892,7705616
2025-12-31T08:21:44Z,eth0,130975000446,646990920,131361878599,647686592,456929055,893947759,591920545,6853,646985322,646342763,2078183,5152,1145612,7700644
2025-12-31T08:21:46Z,eth0,131020019192,647316588,131406659115,648011351,457007579,894448030,592331583,6853,647311934,646668661,2078184,5280,1149804,7704740
2025-12-31T08:21:47Z,eth0,131059093326,647601273,131445827844,648295966,457095582,894890980,592694136,6864,647594918,646949609,2080105,5408,1154396,7712420
2025-12-31T08:21:48Z,eth0,131089013750,647821689,131476067777,648518091,457186978,895236965,592973767,6875,647815549,647167630,2084439,5408,1155176,7712932
2025-12-31T08:21:49Z,eth0,131123447810,648073701,131511342367,648775396,457285006,895636081,593297900,6877,648064347,647419052,2087138,5536,1153236,7708576
2025-12-31T08:21:50Z,eth0,131155847129,648311912,131543534130,649012050,457360902,896002758,593597564,6898,648306325,647654695,2092017,5664,1161608,7734432
2025-12-31T08:21:51Z,eth0,131187340145,648544702,131575535438,649248116,457482975,896370448,593894087,6909,648539000,647885145,2097464,5792,1161648,7733152
2025-12-31T08:21:52Z,eth0,131219814438,648784965,131608693799,649492458,457620199,896752200,594201858,6928,648779130,648123412,2103393,5920,1160604,7724960
2025-12-31T08:21:53Z,eth0,131253293156,649031730,131642783813,649745885,457810973,897149794,594521510,6941,649026382,648371206,2109556,6048,1162816,7729312
2025-12-31T08:21:55Z,eth0,131285790257,649272545,131676065439,649994069,457971244,897537498,594832827,6958,649266576,648612197,2116234,6176,1163996,7731692
2025-12-31T08:21:56Z,eth0,131318888739,649517553,131710641879,650253142,458146510,897938323,595154189,6976,649510446,648865129,2123385,6304,1174524,7743968
2025-12-31T08:21:57Z,eth0,131348771032,649740121,131741950577,650488983,458387704,898311298,595448120,6997,649731701,649090184,2130670,6304,1169936,7730296
2025-12-31T08:21:58Z,eth0,131379416727,649970696,131773146679,650724377,458621835,898681026,595742236,7027,649964105,649316851,2141415,6432,1166728,7739020
2025-12-31T08:21:59Z,eth0,131409519056,650198018,131804590433,650963949,458909662,899057972,596036125,7058,650191398,649544622,2153161,6560,1169428,7748952
2025-12-31T08:22:00Z,eth0,131442187131,650440739,131839225246,651227267,459037061,899454005,596352123,7083,650434718,649800408,2161514,6688,1178740,7762832
2025-12-31T08:22:01Z,eth0,131472574986,650669372,131872132388,651481092,459346342,899845525,596655730,7131,650665536,650041388,2174589,6816,1180664,7765616
2025-12-31T08:22:02Z,eth0,131504825878,650913511,131907177298,651750433,459572452,900251730,596975496,7157,650904996,650298192,2184220,6944,1189420,7775936
2025-12-31T08:22:04Z,eth0,131534473961,651138926,131937331973,651981407,459793038,900610689,597258430,7202,651134004,650519482,2197867,7072,1183492,7753260
2025-12-31T08:22:05Z,eth0,131565869475,651376337,131970793559,652242220,460065773,901005986,597567284,7245,651370668,650763181,2212700,7200,1191432,7784532
2025-12-31T08:22:06Z,eth0,131595198825,651600167,132003844503,652498070,460294736,901390058,597865866,7278,651590930,651005663,2223587,7200,1193756,7785640
2025-12-31T08:22:07Z,eth0,131628698267,651853019,132038170330,652767397,460555548,901799507,598183498,7322,651846320,651263024,2238596,7328,1201148,7822036
2025-12-31T08:22:08Z,eth0,131656607547,652067862,132070147421,653015154,460765981,902164965,598466057,7362,652058755,651496102,2250697,7456,1207080,7827456
2025-12-31T08:22:09Z,eth0,131689322023,652318813,132105642207,653293446,461089029,902585146,598784721,7415,652309835,651757775,2267229,7584,1223024,7849876
2025-12-31T08:22:10Z,eth0,131719181304,652549056,132136751092,653539373,461294485,902948369,599066982,7472,652542672,651990134,2284019,7712,1234948,7867640
2025-12-31T08:22:11Z,eth0,131750968901,652789655,132173468027,653839127,461455267,903369134,599389759,7510,652782633,652279131,2296219,7840,1267492,7901852
2025-12-31T08:22:13Z,eth0,131782240733,653030168,132206702711,654106332,461737902,903763199,599689507,7570,653022819,652527698,2314229,7968,1286228,7922796
2025-12-31T08:22:14Z,eth0,131811839599,653257813,132242413320,654396086,461922733,904161722,599993358,7606,653249514,652800787,2327532,7969,1295020,7927576
2025-12-31T08:22:15Z,eth0,131843516142,653503194,132277824533,654680988,462158047,904563283,600300436,7674,653494846,653066969,2346534,7969,1315704,7961528
2025-12-31T08:22:16Z,eth0,131873027346,653732094,132309514228,654935861,462338919,904924330,600578299,7741,653726119,653306588,2364996,7970,1323196,7966032
2025-12-31T08:22:17Z,eth0,131904572265,653972258,132346729843,655239210,462523851,905346313,600902691,7784,653964804,653593923,2378479,7971,1331336,7975400
2025-12-31T08:22:18Z,eth0,131933879448,654198028,132378372682,655499091,462726619,905710226,601180956,7843,654194219,653839418,2396747,7972,1341568,7988328
2025-12-31T08:22:19Z,eth0,131964907609,654436042,132414901056,655794881,462969974,906127083,601498492,7889,654427315,654116422,2410273,7973,1341464,7988204
2025-12-31T08:22:20Z,eth0,131994666015,654668227,132448483182,656067119,463214979,906514284,601791762,7958,654665036,654371909,2431928,7974,1371068,8021220
2025-12-31T08:22:22Z,eth0,132026790632,654915595,132484012262,656352918,463472398,906923445,602104477,8014,654911065,654638468,2450380,7975,1381952,8038116
2025-12-31T08:22:23Z,eth0,132059468972,655168320,132521319216,656658120,463723332,907349385,602428396,8074,655159234,654922658,2466956,7975,1391948,8054448
2025-12-31T08:22:24Z,eth0,132090782464,655409025,132555532619,656937512,463896774,907737700,602728413,8139,655402821,655187704,2485288,7976,1393388,8050296
2025-12-31T08:22:25Z,eth0,132123158958,655658930,132592638752,657230802,464213360,908159061,603049485,8181,655650463,655458571,2504534,7977,1394364,8037080
2025-12-31T08:22:26Z,eth0,132153383925,655891395,132625087963,657493872,464402653,908526551,603333550,8257,655884658,655706544,2522658,7978,1401356,8067752
2025-12-31T08:22:27Z,eth0,132183676597,656124905,132660052517,657778689,464657356,908924926,603636681,8324,656121884,655971624,2541649,7979,1404572,8070656
2025-12-31T08:22:28Z,eth0,132216481039,656375039,132697653276,658090460,464797200,909350280,603965532,8365,656368173,656271541,2554458,7980,1419120,8085524
2025-12-31T08:22:29Z,eth0,132247494742,656615292,132732381644,658370443,465034790,909748013,604269634,8411,656608877,656532904,2573363,7981,1418804,8076864
2025-12-31T08:22:31Z,eth0,132277641026,656849431,132766468890,658646376,465271341,910136502,604563200,8467,656842595,656789421,2592212,7982,1427868,8094992
2025-12-31T08:22:32Z,eth0,132308916153,657088794,132803612447,658950270,465471274,910558213,604886573,8512,657079836,657076398,2605716,7983,1428836,8090256
2025-12-31T08:22:33Z,eth0,132339315879,657323524,132836336282,659214610,465659633,910928589,605171531,8572,657316989,657325906,2624093,7984,1432332,8107540
2025-12-31T08:22:34Z,eth0,132369724734,657554880,132871941853,659506002,465906234,911341213,605484904,8617,657546371,657600481,2637734,7984,1436744,8114520
2025-12-31T08:22:35Z,eth0,132401644335,657802165,132908252198,659797186,466090746,911744515,605795121,8676,657795040,657874172,2656902,7985,1450704,8125716
2025-12-31T08:22:36Z,eth0,132432352531,658041145,132942215132,660067787,466381464,912135998,606093151,8740,658032520,658124216,2675815,7985,1456168,8144240
2025-12-31T08:22:37Z,eth0,132463048533,658279555,132976269193,660340631,466651779,912524237,606388092,8808,658271172,658378038,2695050,7987,1464704,8150940
2025-12-31T08:22:38Z,eth0,132493522511,658514980,133009279783,660608152,466840286,912899350,606676761,8872,658508614,658630584,2713239,7988,1469160,8151860
2025-12-31T08:22:40Z,eth0,132524426846,658750053,133043925448,660890535,467096675,913303267,606983652,8920,658743019,658894808,2730387,7989,1483412,8182524
2025-12-31T08:22:41Z,eth0,132553482758,658973645,133078191710,661167528,467360324,913701584,607289784,8969,658973849,659158768,2747575,7990,1495124,8202000
2025-12-31T08:22:42Z,eth0,132586356473,659228328,133115949558,661474744,467589430,914129584,607615058,9024,659220054,659444278,2763031,7990,1501764,8207984
2025-12-31T08:22:43Z,eth0,132617696119,659472385,133148546598,661734208,467885826,914506844,607901966,9109,659465746,659683195,2786861,7991,1502876,8206924
2025-12-31T08:22:44Z,eth0,132649335923,659714748,133185189923,662032092,468125411,914923228,608220931,9168,659711941,659962116,2805698,7992,1507696,8219896
2025-12-31T08:22:45Z,eth0,132680318315,659954203,133221170390,662322381,468344367,915329389,608532124,9211,659945516,660235476,2819087,7993,1519000,8226596
2025-12-31T08:22:46Z,eth0,132713492874,660210298,133256249815,662603535,468648967,915734580,608842599,9295,660203804,660497523,2843337,7994,1521744,8241740
2025-12-31T08:22:48Z,eth0,132744153737,660448223,133290779323,662877379,468847081,916121869,609138592,9349,660441812,660751972,2861077,7995,1528176,8235908
2025-12-31T08:22:49Z,eth0,132775754543,660692413,133326408078,663165545,469102624,916528957,609450540,9414,660686265,661021951,2879631,7996,1530944,8240832
2025-12-31T08:22:50Z,eth0,132807340530,660936163,133362362897,663454746,469370281,916940527,609764961,9472,660928738,661292237,2898115,7996,1539100,8263180
2025-12-31T08:22:51Z,eth0,132837298557,661168653,133396003662,663724547,469686568,917327697,610055619,9529,661159538,661539031,2917374,7998,1542848,8259440
