time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T15:36:28Z,eth0,1052305802,4849453,968036006,3626896,16172779,41390883,3852360,16,4826128,3686005,80,4128,67008,1437160
2025-12-31T15:36:29Z,eth0,1057247993,4874111,972578917,3645458,16211626,41443340,3875736,16,4851199,3704755,80,4256,67392,1437672
2025-12-31T15:36:30Z,eth0,1065029751,4913070,979703622,3674575,16260697,41512286,3910736,17,4890512,3734429,80,4384,67584,1437736
2025-12-31T15:36:31Z,eth0,1075602108,4965509,989423358,3714094,16313602,41592187,3955182,17,4942319,3773284,88,4512,67584,1437736
2025-12-31T15:36:32Z,eth0,1089519480,5034119,1002204066,3765408,16382656,41694631,4012885,17,5010929,3824622,88,4512,67584,1437800
2025-12-31T15:36:33Z,eth0,1106384313,5117525,1017700758,3828198,16462247,41814097,4082869,17,5094531,3887558,88,4640,67968,1438376
2025-12-31T15:36:34Z,eth0,1126077823,5215125,1035775610,3901292,16549698,41944839,4161322,17,5191934,3960505,88,4768,71616,1438440
2025-12-31T15:36:36Z,eth0,1148551883,5326183,1056446144,3985035,16644102,42089309,4250182,17,5303835,4044654,88,4896,76032,1438760
2025-12-31T15:36:37Z,eth0,1173810909,5450940,1079625769,4078309,16746099,42245842,4347274,17,5428305,4138077,89,5024,83136,1438824
2025-12-31T15:36:38Z,eth0,1201891940,5589624,1105442020,4182792,16851199,42413003,4450959,17,5567354,4242440,89,5152,89088,1438984
2025-12-31T15:36:39Z,eth0,1233292862,5744621,1134279980,4298856,16968308,42598215,4569465,18,5723266,4359851,90,5152,95808,1439112
2025-12-31T15:36:40Z,eth0,1268080184,5916328,1166236246,4427693,17097739,42797977,4697413,18,5893497,4487163,90,5280,104640,1439240
2025-12-31T15:36:41Z,eth0,1305339363,6100296,1200487618,4566201,17234205,43012454,4837801,18,6079081,4626412,90,5408,114240,1439416
2025-12-31T15:36:42Z,eth0,1345575758,6298952,1237425895,4714924,17378896,43241091,4987994,18,6277638,4775960,90,5536,125568,1505084
2025-12-31T15:36:43Z,eth0,1389190689,6514146,1277502448,4876548,17536757,43488953,5152871,18,6492561,4937345,90,5664,136896,1505276
2025-12-31T15:36:44Z,eth0,1435238398,6741288,1319791615,5046753,17699102,43746224,5326485,18,6719726,5107484,90,5792,149376,1505404
2025-12-31T15:36:45Z,eth0,1484336545,6983187,1364928782,5228695,17867042,44017563,5510320,18,6961803,5288928,90,5792,163584,1505596
2025-12-31T15:36:46Z,eth0,1537119640,7243520,1413435214,5424207,18043645,44304296,5706004,18,7222181,5484328,90,5920,177216,1505860
2025-12-31T15:36:47Z,eth0,1592926831,7518724,1464710547,5630758,18214900,44598124,5907882,18,7497521,5691295,94,6048,191424,1571848
2025-12-31T15:36:49Z,eth0,1651606417,7808072,1518618010,5847914,18397393,44906577,6121564,18,7787313,5908832,94,6176,207360,1572104
2025-12-31T15:36:50Z,eth0,1713602615,8113701,1575576912,6077246,18590348,45231316,6349323,18,8092612,6138431,94,6304,223296,1572232
2025-12-31T15:36:51Z,eth0,1777674137,8429667,1634456037,6314569,18788417,45562475,6583480,18,8410093,6376694,94,6432,240576,1572744
2025-12-31T15:36:52Z,eth0,1845688645,8765033,1696954236,6566399,18995080,45909041,6827541,18,8744034,6627874,94,6560,258432,1639160
2025-12-31T15:36:53Z,eth0,1916542498,9114057,1762086087,6828726,19205132,46265046,7082047,18,9094042,6890526,94,6560,276864,1639672
2025-12-31T15:36:54Z,eth0,1990175139,9477097,1829729861,7101050,19420602,46630707,7343505,18,9456129,7162425,95,6688,296640,1640952
2025-12-31T15:36:55Z,eth0,2066897493,9855357,1900224946,7385000,19640452,47011585,7618687,18,9834876,7446693,95,6816,316224,1641208
2025-12-31T15:36:56Z,eth0,2146414381,10247376,1973279643,7679224,19862632,47402938,7903140,18,10228638,7742220,95,6944,338304,1707324
2025-12-31T15:36:57Z,eth0,2230271868,10660775,2050363466,7990031,20096591,47810743,8199216,18,10640405,8050829,95,7072,359616,1708512
2025-12-31T15:36:58Z,eth0,2316461422,11085650,2129538409,8308666,20334491,48226504,8503475,18,11066226,8370660,95,7200,381888,1709280
2025-12-31T15:36:59Z,eth0,2404633963,11520362,2210562962,8635036,20577604,48648198,8812190,18,11501130,8697189,95,7328,405696,1776484
2025-12-31T15:37:01Z,eth0,2496490259,11972792,2294972995,8974735,20827153,49085637,9135455,18,11955689,9038777,95,7328,429120,1777316
2025-12-31T15:37:02Z,eth0,2591925753,12443245,2382671680,9327982,21083463,49534899,9467501,18,12423704,9390077,95,7456,455616,1778212
2025-12-31T15:37:03Z,eth0,2695398610,12953281,2477761851,9710981,21359865,50019452,9825905,18,12933978,9773167,96,7584,482112,1844328
2025-12-31T15:37:04Z,eth0,2796303624,13450513,2570504750,10084494,21627818,50487343,10172535,18,13432015,10147234,96,7712,509184,1845160
2025-12-31T15:37:05Z,eth0,2900578637,13964374,2666313697,10470332,21909067,50968811,10530734,18,13945568,10532736,96,7840,536676,1911904
2025-12-31T15:37:06Z,eth0,3011151749,14509226,2767937323,10879588,22204436,51473126,10907073,18,14490163,10941728,96,7968,564900,1912736
2025-12-31T15:37:07Z,eth0,3121035553,15050627,2868918140,11286003,22498260,51968233,11276449,18,15031733,11348549,96,7969,593700,1913632
2025-12-31T15:37:08Z,eth0,3231502377,15594483,2970460180,11694664,22799335,52465081,11647701,18,15575168,11756707,96,7969,622692,1980388
2025-12-31T15:37:09Z,eth0,3343050947,16144030,3072987890,12107281,23110722,52971140,12026120,18,16125882,12170270,97,7970,652260,1980964
2025-12-31T15:37:10Z,eth0,3455469710,16697672,3176304167,12523106,23413470,53477520,12405082,18,16679129,12585613,97,7971,681636,2047976
2025-12-31T15:37:12Z,eth0,3567800584,17251059,3279542066,12938636,23717912,53986298,12784994,18,17232395,13001224,97,7972,709860,2048616
2025-12-31T15:37:13Z,eth0,3677862977,17793057,3380700078,13345691,24016799,54481781,13155066,18,17774568,13408346,97,7973,738660,2115308
2025-12-31T15:37:14Z,eth0,3788175536,18336504,3482074288,13753716,24311525,54982700,13528158,18,18318222,13816692,97,7974,749988,2119980
2025-12-31T15:37:15Z,eth0,3898438660,18879638,3583426661,14161610,24606893,55480645,13899684,19,18860371,14223844,97,7975,749988,2120364
2025-12-31T15:37:16Z,eth0,4013302264,19445316,3688992625,14586443,24915253,56001244,14288106,19,19426555,14648994,97,7976,749988,2120684
2025-12-31T15:37:17Z,eth0,4123444052,19987803,3790225001,14993861,25207668,56500388,14661940,19,19972414,15058946,97,7976,749988,2121068
2025-12-31T15:37:18Z,eth0,4234210343,20533394,3892027843,15403603,25501216,57000899,15035750,19,20515091,15466470,97,7977,749988,2121452
2025-12-31T15:37:19Z,eth0,4344218513,21075238,3993134554,15810516,25793271,57496581,15405406,19,21056262,15872977,99,7978,750372,2121772
2025-12-31T15:37:20Z,eth0,4455173603,21621699,4095109565,16220887,26091560,57998015,15779691,19,21603546,16283955,99,7979,750564,2122156
2025-12-31T15:37:22Z,eth0,4568143703,22178145,4198949044,16638801,26392240,58509127,16162085,19,22160401,16702164,99,7980,750564,2122540
2025-12-31T15:37:23Z,eth0,4686355790,22760392,4307588095,17076061,26709607,59041373,16560145,19,22741631,17138643,100,7981,750564,2122924
2025-12-31T15:37:24Z,eth0,4799652519,23318492,4411713800,17495101,27012706,59553841,16943248,19,23300628,17558315,100,7982,750564,2123308
2025-12-31T15:37:25Z,eth0,4910342674,23863568,4513446893,17904493,27307354,60053187,17316355,19,23844494,17966756,100,7982,750756,2123628
2025-12-31T15:37:26Z,eth0,5021463864,24410912,4615576109,18315536,27599336,60554929,17690847,19,24391932,18377991,100,7983,750948,2124012
2025-12-31T15:37:27Z,eth0,5134601809,24968109,4719595601,18734199,27895279,61064288,18073598,19,24951414,18798261,100,7984,750948,2124396
2025-12-31T15:37:28Z,eth0,5245245421,25513171,4821260195,19143381,28187598,61562051,18443778,19,25494271,19205841,101,7985,750948,2124716
2025-12-31T15:37:29Z,eth0,5355504177,26056200,4922594235,19551192,28482146,62060134,18815469,19,26037747,19613772,101,7986,751140,2125100
2025-12-31T15:37:30Z,eth0,5465968334,26600274,5024141118,19959890,28777738,62556201,19185372,19,26581269,20022060,102,7987,751332,2125484
2025-12-31T15:37:32Z,eth0,5576269773,27143599,5125494237,20367764,29058218,63051685,19556019,19,27125646,20430984,102,7988,751332,2125804
2025-12-31T15:37:33Z,eth0,5687931485,27693548,5228134102,20780865,29352398,63555619,19932478,19,27678167,20845824,102,7988,751524,2126188
