time_utc,iface,rx_bytes_per_s,rx_packets_per_s,tx_bytes_per_s,tx_packets_per_s,ctxt_per_s,intr_per_s,softirq_net_rx_per_s,softirq_net_tx_per_s,tcp_insegs_per_s,tcp_outsegs_per_s,tcp_retranssegs_per_s,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T15:46:13Z,eth0,6212765.00,30580.00,6187594.00,30312.00,65168.00,68483.00,35163.00,0.00,30744.00,30476.00,0.00,4256,66816,1437736
2025-12-31T15:46:14Z,eth0,9008579.00,44179.00,8996682.00,43960.00,84400.00,88729.00,50160.00,0.00,44708.00,44490.00,0.00,4384,70464,1437864
2025-12-31T15:46:15Z,eth0,11900372.00,58208.00,11887644.00,58031.00,101849.00,107494.00,62276.00,0.00,58464.00,58287.00,0.00,4512,80448,1438184
2025-12-31T15:46:16Z,eth0,14766069.00,72395.00,14742065.00,72126.00,124674.00,129496.00,77363.00,0.00,72429.00,72160.00,0.00,4640,92544,1438344
2025-12-31T15:46:17Z,eth0,17654160.00,85765.00,17664528.00,85827.00,139712.00,146061.00,88556.00,0.00,85765.00,85827.00,0.00,4640,109632,1438728
2025-12-31T15:46:18Z,eth0,21267678.00,103729.00,21253197.00,103519.00,169679.00,174364.00,110443.00,0.00,103621.00,103411.00,0.00,4768,129792,1504572
2025-12-31T15:46:19Z,eth0,24008943.00,117041.00,23993248.00,116823.00,185330.00,192020.00,122611.00,0.00,117146.00,116927.00,1.00,4896,153216,1504764
2025-12-31T15:46:20Z,eth0,27040032.00,132025.00,27014702.00,131755.00,200320.00,209043.00,135385.00,0.00,131372.00,131114.00,0.00,5024,178176,1505412
2025-12-31T15:46:21Z,eth0,29808376.00,145215.00,29795063.00,145014.00,219572.00,227821.00,149653.00,0.00,146786.00,146573.00,0.00,5152,207552,1571400
2025-12-31T15:46:22Z,eth0,33056433.00,161005.00,33040498.00,160776.00,238986.00,249394.00,165398.00,0.00,160609.00,160381.00,1.00,5280,238272,1571720
2025-12-31T15:46:24Z,eth0,18027989.00,87909.00,18015254.50,87773.00,127889.50,135121.50,90471.00,0.00,87685.50,87597.50,0.00,5408,272832,1638136
2025-12-31T15:46:25Z,eth0,39444883.00,191596.00,39445181.00,191613.00,276348.00,290314.00,197695.00,0.00,191755.00,191784.00,0.00,5408,310080,1639480
2025-12-31T15:46:26Z,eth0,42595517.00,207326.00,42579147.00,207099.00,289518.00,307014.00,210960.00,0.00,208013.00,207778.00,0.00,5536,350400,1708284
2025-12-31T15:46:27Z,eth0,45290720.00,220400.00,45286312.00,220258.00,304743.00,322053.00,222393.00,0.00,220382.00,220134.00,0.00,5664,393408,1709792
2025-12-31T15:46:28Z,eth0,48814063.00,237813.00,48780837.00,237477.00,323465.00,341737.00,238826.00,1.00,238089.00,237766.00,0.00,5792,439488,1776036
2025-12-31T15:46:29Z,eth0,51264375.00,249457.00,51250274.00,249221.00,331567.00,355087.00,247741.00,0.00,249357.00,249112.00,0.00,5920,488064,1842088
2025-12-31T15:46:30Z,eth0,54602569.00,265663.00,54584858.00,265421.00,348442.00,372724.00,262920.00,0.00,265555.00,265357.00,0.00,6048,539620,1909408
2025-12-31T15:46:31Z,eth0,57144975.00,277595.00,57144905.00,277594.00,354876.00,384197.00,270885.00,0.00,278008.00,277963.00,0.00,6085,593572,1911136
2025-12-31T15:46:32Z,eth0,60835410.00,296156.00,60813516.00,295933.00,362929.00,403060.00,285048.00,2.00,296287.00,296039.00,0.00,6176,651172,1979492
2025-12-31T15:46:33Z,eth0,63960023.00,311139.00,63946510.00,310893.00,367403.00,413767.00,293892.00,0.00,311748.00,311614.00,0.00,6304,712420,2046376
2025-12-31T15:46:34Z,eth0,67928191.00,330231.00,67937960.00,330288.00,370303.00,454648.00,311585.00,0.00,329997.00,329741.00,0.00,6432,756580,2116204
2025-12-31T15:46:36Z,eth0,35082233.50,170660.00,35052151.50,170400.50,190642.00,221173.00,157965.00,0.00,170621.00,170471.00,0.00,6560,756580,2116780
2025-12-31T15:46:37Z,eth0,72847389.00,354617.00,72836601.00,354343.00,388088.00,455440.00,326645.00,2.00,354563.00,354394.00,0.00,6688,756580,2117292
2025-12-31T15:46:38Z,eth0,75854056.00,368857.00,75838495.00,368654.00,398456.00,467785.00,336028.00,0.00,369879.00,369585.00,1.00,6816,756772,2117932
2025-12-31T15:46:39Z,eth0,79085520.00,384154.00,79080826.00,384149.00,404678.00,484033.00,348691.00,0.00,385837.00,385834.00,0.00,6816,756964,2118508
2025-12-31T15:46:40Z,eth0,83064341.00,404164.00,83053929.00,403975.00,408759.00,499320.00,361953.00,0.00,402420.00,402264.00,1.00,6944,756964,2119212
2025-12-31T15:46:41Z,eth0,85705045.00,416747.00,85664266.00,416385.00,410946.00,513233.00,372788.00,0.00,416782.00,416417.00,0.00,7072,757732,2119916
2025-12-31T15:46:42Z,eth0,73268084.00,356249.00,74513426.00,368447.00,362833.00,454980.00,328608.00,0.00,357447.00,367150.00,1994.00,7200,757924,2120428
2025-12-31T15:46:43Z,eth0,68304486.00,335029.00,69469575.00,346094.00,325588.00,432520.00,317719.00,1.00,333904.00,342969.00,2607.00,7301,782308,2121772
2025-12-31T15:46:44Z,eth0,67830184.00,332119.00,69271624.00,345775.00,309404.00,427320.00,314848.00,2.00,331896.00,342904.00,2498.00,7456,844928,2189532
2025-12-31T15:46:45Z,eth0,68453524.00,334581.00,69954224.00,348823.00,306650.00,427870.00,315358.00,0.00,334976.00,346404.00,2751.00,7584,909248,2256672
2025-12-31T15:46:46Z,eth0,67634820.00,330547.00,69209590.00,345382.00,300290.00,420561.00,309586.00,0.00,330154.00,342669.00,3036.00,7584,970496,2323300
