time_utc,iface,rx_bytes,rx_packets,tx_bytes,tx_packets,ctxt,intr,softirq_net_rx,softirq_net_tx,tcp_insegs,tcp_outsegs,tcp_retranssegs,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T15:55:31Z,eth0,48073208065,230793211,47117343378,211036541,174612746,288176831,181819828,619,230766162,209757331,1387431,4128,145728,1438728
2025-12-31T15:55:32Z,eth0,48081088810,230850624,47125217930,211093763,174735700,288300012,181901329,619,230824075,209815051,1387431,4256,325632,1636748
2025-12-31T15:55:33Z,eth0,48092899823,230936724,47137021600,211179757,174892617,288469188,182017500,619,230910230,209901017,1387431,4384,661576,1971312
2025-12-31T15:55:34Z,eth0,48108517850,231050317,47152612222,211293021,175075944,288680294,182164565,619,231023488,210014023,1387432,4512,833616,2171824
2025-12-31T15:55:35Z,eth0,48127928393,231191326,47172010084,211433838,175289936,288929964,182342767,619,231165786,210156139,1387432,4640,890448,2172656
2025-12-31T15:55:37Z,eth0,48151912928,231365280,47195982964,211607841,175484767,289222917,182549143,621,231338834,210329286,1387432,4640,1294800,2705680
2025-12-31T15:55:38Z,eth0,48180403927,231572256,47224481182,211814647,175675740,289538221,182781646,621,231546591,210536671,1387432,4768,1355472,2707408
2025-12-31T15:55:39Z,eth0,48212494677,231804228,47256366236,212046117,175832189,289879104,183037174,621,231778349,210767699,1387437,4896,1984400,3308804
2025-12-31T15:55:40Z,eth0,48249001505,232069667,47292828856,212311277,175950699,290252297,183316183,621,232043345,211032490,1387447,5024,2738880,4044964
2025-12-31T15:55:41Z,eth0,48288071755,232353454,47331830531,212595846,176031133,290609075,183592539,621,232334782,211325212,1387476,5152,2742144,4047780
2025-12-31T15:55:42Z,eth0,48329546863,232654859,47373290692,212897220,176094889,290979393,183874790,621,232632976,211622722,1387502,5280,2746176,4049892
2025-12-31T15:55:43Z,eth0,48371073417,232956560,47414742350,213198597,176157645,291344268,184154424,621,232932685,211922414,1387535,5408,2758464,4060132
2025-12-31T15:55:44Z,eth0,48409929048,233238638,47453648994,213480981,176227249,291710848,184431884,621,233217846,212207634,1387549,5408,3357520,4663956
2025-12-31T15:55:45Z,eth0,48449335085,233524814,47493003692,213767012,176287515,292075796,184706558,621,233504200,212493886,1387556,5536,3695056,5007656
2025-12-31T15:55:46Z,eth0,48490567585,233824262,47534230419,214066445,176351315,292440494,184984121,621,233797564,212787092,1387571,5664,3697552,5009448
2025-12-31T15:55:47Z,eth0,48531037011,234117891,47574612613,214359851,176411726,292802333,185264725,621,234094823,213084284,1387583,5792,3698896,5012008
2025-12-31T15:55:49Z,eth0,48570542688,234404576,47614107626,214646718,176475049,293155459,185533172,621,234380590,213370266,1387594,5920,3701776,5013480
2025-12-31T15:55:50Z,eth0,48609550159,234687673,47653034025,214929647,176538880,293509144,185806972,621,234664354,213654816,1387596,6048,3704080,5015656
2025-12-31T15:55:51Z,eth0,48647686310,234964300,47691707376,215214190,176595700,293882664,186078238,628,234939326,213936876,1387598,6114,4147600,5420480
2025-12-31T15:55:52Z,eth0,48688058212,235257353,47732210353,215509190,176654504,294245657,186358982,628,235235429,214234530,1387604,6176,4148368,5422336
2025-12-31T15:55:53Z,eth0,48726514230,235536180,47770792251,215791157,176715176,294594268,186624897,628,235509129,214511767,1387606,6304,4149328,5424128
2025-12-31T15:55:54Z,eth0,48765144053,235816357,47809707748,216076050,176779241,294950851,186899196,628,235792674,214799641,1387612,6432,4151440,5426304
2025-12-31T15:55:55Z,eth0,48804976346,236105360,47849839512,216370246,176835042,295308723,187172974,628,236079146,215091690,1387614,6560,4152976,5428160
2025-12-31T15:55:56Z,eth0,48844192250,236389957,47889463376,216661731,176894824,295665732,187446031,628,236362902,215382338,1387616,6688,4222480,5496836
2025-12-31T15:55:57Z,eth0,48880783923,236655415,47927513255,216949716,176967014,296039886,187719939,636,236629497,215671321,1387617,6816,4398544,5697808
2025-12-31T15:55:58Z,eth0,48918388712,236928093,47966318528,217240284,177029163,296398646,187990904,636,236902508,215961989,1387619,6864,4403344,5697808
2025-12-31T15:56:00Z,eth0,48957934079,237214905,48006979167,217544222,177090400,296770824,188272948,636,237191169,216267554,1387623,6944,4404688,5697808
2025-12-31T15:56:01Z,eth0,48997148399,237499400,48047331359,217847311,177154207,297137505,188549797,636,237472344,216567905,1387624,7072,4405456,5698128
2025-12-31T15:56:02Z,eth0,49035312900,237776086,48087228811,218150911,177222508,297504910,188824461,636,237749030,216871504,1387625,7200,4406800,5700176
2025-12-31T15:56:03Z,eth0,49073117171,238050415,48126865250,218453424,177291103,297875782,189102300,636,238026888,217178200,1387626,7328,4545808,5841080
2025-12-31T15:56:04Z,eth0,49110553973,238321931,48167386482,218771809,177347757,298265669,189382090,643,238301452,217499396,1387627,7456,4721300,6038552
2025-12-31T15:56:05Z,eth0,49150703734,238613123,48210137130,219103270,177402188,298652595,189666125,643,238587834,217825606,1387630,7584,4722452,6038552
2025-12-31T15:56:06Z,eth0,49189464363,238894392,48252053683,219432712,177460399,299032668,189946112,644,238867338,218153659,1387633,7712,4723412,6038552
2025-12-31T15:56:07Z,eth0,49227183162,239167924,48293835546,219767109,177517502,299413064,190225083,657,239141723,218487883,1387635,7712,4723412,6038552
2025-12-31T15:56:08Z,eth0,49266740669,239454757,48336551201,220103318,177570774,299794525,190506991,657,239432674,218830488,1387639,7840,4723412,6038616
2025-12-31T15:56:09Z,eth0,49304460383,239728424,48378991277,220449314,177634983,300195821,190790774,663,239706219,219175383,1387640,7968,4728020,6040984
2025-12-31T15:56:11Z,eth0,49340205156,239987692,48420134110,220790307,177690971,300584503,191064533,676,239965328,219519000,1387640,7969,5120660,6444272
2025-12-31T15:56:12Z,eth0,49378068261,240262290,48462807862,221137356,177754215,300979542,191349087,681,240240068,219863885,1387643,7970,5122772,6444272
2025-12-31T15:56:13Z,eth0,49417637920,240549173,48506793123,221491422,177812797,301374447,191633101,687,240524416,220214909,1387645,7971,5122772,6444272
2025-12-31T15:56:14Z,eth0,49455921593,240826916,48550185774,221846571,177870661,301767367,191915885,703,240799859,220567174,1387646,7972,5122964,6444272
2025-12-31T15:56:15Z,eth0,49494406545,241106060,48593511180,222198859,177929293,302161304,192201448,715,241081587,220922677,1387648,7972,5122964,6444272
2025-12-31T15:56:16Z,eth0,49533419420,241388967,48637241951,222553303,177992326,302556158,192484393,734,241361908,221274007,1387649,7973,5123156,6445168
2025-12-31T15:56:17Z,eth0,49571167288,241662846,48680513410,222910305,178056640,302968065,192766474,749,241638126,221633584,1387649,7974,5129876,6447152
2025-12-31T15:56:18Z,eth0,49606675222,241920224,48721605151,223252676,178115639,303359033,193037698,762,241893510,221974560,1387650,7975,5418260,6716992
2025-12-31T15:56:19Z,eth0,49644771424,242196549,48764866092,223607274,178171466,303745789,193315633,780,242169490,222328205,1387653,7976,5420372,6716992
2025-12-31T15:56:21Z,eth0,49681553150,242463395,48807739455,223965499,178241572,304147803,193601569,819,242439325,222689315,1387653,7977,5420372,6716992
2025-12-31T15:56:22Z,eth0,49718801284,242733312,48849883572,224310112,178302418,304528343,193875838,826,242710943,223035841,1387654,7978,5420372,6716992
2025-12-31T15:56:23Z,eth0,49756412084,243006224,48892605434,224659654,178361907,304912578,194150892,844,242981104,223382097,1387654,7978,5420564,6716992
2025-12-31T15:56:24Z,eth0,49792276376,243266325,48934501586,225011594,178430733,305301709,194427967,874,243242863,223735973,1387656,7979,5420564,6716992
